x0,x1,x2,x3,x4,x5,y
-17.93351949,6.559219807,2.42246779,-27.73739154,-12.08060109,-3.892933936,1
-37.21475431,10.77492982,5.404071845,21.35473782,0.612690064,-3.09353311,0
0.330441111,-19.60997161,-1.331804253,-15.15389181,19.71024012,19.07729975,0
-13.70976525,-8.011390375,-1.536483154,23.12949749,27.88087919,20.5739908,0
-4.202597931,7.076210192,8.881549721,23.60077674,26.23216365,-14.46231998,1
12.57027663,2.543882929,5.036511103,18.27557113,14.2207324,4.636572349,1
17.9493742,-35.40685337,-1.512401026,-16.07872451,-20.76452587,-3.572166738,1
38.64526776,-21.87106573,1.403067221,-33.78924651,-32.78241689,-24.14533586,0
35.27988716,-2.004482578,-5.289373203,-17.17421421,40.82033913,18.57554221,0
-31.75664563,-5.499584654,0.27878852,5.665959627,36.19264318,8.1601153,0
-18.49788351,-4.119073594,4.774894706,9.563845882,29.57977347,-5.984612653,0
7.464153612,-9.292886696,-3.682703672,-48.3784501,23.5262294,-11.09968206,0
-21.37881354,-10.92318747,-7.467420899,33.0821982,-19.55168989,3.20810086,0
49.36373617,-23.55926023,2.636509181,-40.68484995,10.32685873,-0.160844445,0
-5.54180998,-12.61046824,0.496293595,-27.47466456,19.87410389,-11.11768583,1
28.36365362,-4.690589489,-1.328075829,-66.66080992,55.15290137,-25.90708333,0
5.581232396,2.283373758,0.888414499,40.61180865,3.639521959,5.551588791,1
-14.79777583,32.03320318,10.39542062,-12.65728707,25.08690694,-14.38073736,1
-2.969843783,17.30650415,5.120707786,-28.88919666,13.2434738,-15.26138964,0
26.22584297,-19.28584459,4.500887974,-55.5901503,2.211523065,-5.892824438,1
26.89596206,-14.65704289,0.924874976,-35.4214666,-23.31309976,-1.975543589,0
21.76155282,-17.10681291,-2.530758628,0.336496814,-34.01266441,-24.02670629,0
30.58190185,1.030909194,-7.146221947,6.884799003,-40.82401112,-9.575054357,0
-6.953462778,-28.27518078,1.988051831,-6.07047984,52.50565232,1.137969973,0
7.997618895,-17.28438221,-4.614114141,23.64791118,9.655967035,4.307115034,0
-70.50580007,-26.3115073,3.761517353,71.97443605,57.39775616,2.883888794,0
16.29722173,-0.1966413,9.391157894,20.21718492,-66.69332332,11.91024305,0
41.15831463,-19.76034923,-6.149183454,-21.34045769,-58.14027393,5.392007396,1
0.595992215,-15.22444573,2.352272053,-4.080920774,17.91996762,-1.881625068,1
3.911653745,0.337281286,2.541650672,-36.64124109,-11.97931306,-3.786010401,0
-12.21517762,19.8295383,5.028488644,-29.4786367,2.159097089,-16.65793281,0
12.90617483,-38.35912105,5.078447518,-58.37584948,35.87383126,2.06145599,0
-19.02415658,35.15747832,1.652582624,-81.71061492,-23.06977725,3.401313364,1
-38.57681489,15.91024476,-0.83669478,77.99362073,-25.48488507,3.160046387,0
33.44961886,-13.89680695,5.22142885,-2.491689849,-14.37882898,-4.539669931,0
8.237661779,-24.65950378,7.786297406,-5.719577402,5.461365653,-8.646528022,1
-2.561673119,-25.18243639,-4.960565622,77.16908441,-22.43003289,3.077228724,0
24.90924041,-5.83634803,-2.849101008,-7.07819524,22.7826629,-6.673750368,0
-7.978437818,-37.98927744,-2.381585812,-27.07960218,22.43833779,6.883018704,0
34.76220271,-13.83469557,-5.00054199,-94.256884,7.108588901,-5.78005753,1
-14.53217797,22.88733839,-2.731033981,-21.47746882,4.877423939,6.20245302,0
-10.60924522,-24.22220338,7.332544295,-3.347797695,2.728835072,-12.04551034,1
20.80143831,-20.15218911,-1.692080866,12.28791961,-4.533736696,-17.88987671,0
17.92918021,-23.81465835,7.179606773,-38.23701967,-15.77289112,-33.17488177,0
-8.465555563,-5.722609402,4.492443111,38.36653902,1.489602389,5.569119505,0
-6.471349503,1.777238172,12.71029422,-30.58454332,-1.702724631,-7.169267498,0
13.25933353,3.868108674,2.588313921,7.676057666,31.16153636,-43.59576111,0
-44.9932791,17.29282016,-7.468733964,-19.22903019,-6.05493486,13.76529529,0
30.44837752,-29.91086457,0.240498764,33.91599418,1.182259718,-17.20934206,0
-38.07250153,-3.334546999,1.379552634,-5.378918087,2.383108792,-10.51837569,0
40.20193122,2.764104989,-7.031386219,29.05728681,-0.861690336,11.23916749,0
-22.16254509,-3.834535108,2.890780401,-55.64411049,9.960840128,-1.255618491,0
34.46646777,12.57386329,-10.47280759,36.0980576,-20.47870253,-0.143569055,0
6.85369045,-8.728059219,-7.204150813,-2.218389981,19.27223439,8.014596776,0
7.406560242,-21.45755338,-6.60951609,-9.571774854,7.545579392,2.592836243,0
-31.7846474,-0.301018944,-3.180637044,14.72892457,20.17293174,13.30996071,0
-3.133332063,0.19322566,-4.636151684,-23.30362781,-24.28876155,-2.490034593,1
10.54753793,19.11182571,2.13153054,-16.5403824,9.518555149,9.075814867,0
12.34757959,6.785366725,0.910748286,36.85954243,-23.98013972,-15.75474594,0
-2.325900593,-16.20682804,-7.621170533,66.01370969,-23.09508138,-4.346282179,0
21.58686328,30.03591101,7.432336571,-69.32657795,-5.280615683,-7.512107733,1
-32.29787842,-7.245849716,-5.398229165,13.23168293,-3.709748504,3.803920775,0
-25.46659428,-16.73113241,4.498688105,-18.57350373,-21.80671989,-43.85967245,0
19.95720955,-14.47489556,0.718999489,36.92227099,-1.041523361,-0.239374164,0
33.85504955,4.914722647,-9.589341046,11.81498645,-2.081096143,-5.054471348,0
35.03291071,-18.56277789,-3.309883486,8.470710308,-13.97026787,-18.34813549,0
-57.2308841,-1.434299075,4.105151864,47.1909052,21.24169361,30.63830744,0
4.401089942,7.220176373,-9.370028427,-75.49642411,-22.55137054,9.587801988,1
-18.76334409,0.35056919,1.018513583,13.21114516,-17.21011317,-3.3764967,0
-29.70255836,-5.279835667,-1.008250678,-18.83767423,18.85722817,6.55592587,0
37.78060153,-13.52786096,1.236772554,-57.82918036,-8.565165631,18.68934626,1
-4.740874793,-1.591030088,2.029787077,-33.58433475,13.13222135,-31.01483311,0
61.11482316,13.72893186,-2.644902606,1.417402344,-51.68917074,9.199876028,0
-42.78754791,-0.246253705,1.294611147,37.54651569,38.16972525,10.26939518,0
30.27333133,2.396031984,4.222403511,6.459947252,-27.06384009,3.775966731,0
32.78626681,-25.1319788,-3.482010507,18.96493292,25.9078906,-1.982200998,0
22.81282157,9.259247165,4.565155621,-25.19214404,-16.06688639,0.864073355,0
-0.321318898,-7.873998453,-1.770130371,5.365375583,18.75183274,25.07248039,0
-5.590803035,10.51345235,-3.970878088,31.93316251,-4.250046723,15.42401733,0
-21.98031628,2.401960751,0.040249036,-3.084096908,-9.523226574,12.88324673,0
6.911106332,-0.760269993,-9.029774758,13.68601502,-27.17936627,4.176354238,0
49.48403439,6.805983999,-1.240535195,-23.8631468,-2.289535408,-5.195997327,0
31.8753794,26.34412327,4.23538601,33.83931526,-52.39508933,-10.58279962,0
-32.56764332,-8.5374178,8.550267607,38.36440725,-20.44124756,-6.110635721,0
4.897767943,-20.59876825,-4.345575649,-8.344601698,-7.665961501,-17.43879997,0
-1.495717939,-11.67023175,-3.495173929,39.57523292,28.37044517,23.31307707,1
-30.91457697,-15.30871152,5.155058739,1.992543573,-3.963665055,-16.47390372,0
